review_id,text,rating,location_sentiment,room_sentiment,service_sentiment,value_sentiment,overall_sentiment,text_length
20,"great location beach definitely agree reviewer, great location beach good 15 minute walk main strip restaurants, bus best bet old san juan just 75 cents come 20-30 mins, cab 13-14.we reservation wind chimes like lot people got upgraded acacia opinion nicer, got free upgrade mind gorgeous balcony suite, zero parking street nor parking lot wind lot 10 day not worth imo, definitely advice felix desk acacia recommend eateries things avoid, definitely kasalta bakery breakfast 10 min walk opposite way old city, unlike previous post skip bebo cafe bebo not beso, dominican owned worst service, food wasnt worth, going old san juan eat lupi mexican restaurant good, thought rooms really nice stepped jacuzzi right room, pool wind access hotels sandwiches chips/salsa excellent bar, waterfall el yunque rent car 25 min ride, dont know cab, not far,  ",5,5,3,3,3,14,847
21,"unbelievable, usually not write reviews site upset read reading trip el conquistador, went wife 2 kids age 3 5 open mind, spoken said place breathtaking got ta, read reviews did not really know think, just got night best vacation, views breathtaking, stayed oceanview room overlooking atlantic carribean, personally picky hotel rooms usually stay hilton embassy suites, room fine especially look outside balcony paradise, rooms little outdated clean extremely acceptable taste, beds comfortable worked great, resort like going paradise not stay rooms day, rooms morning breakfast night asleep, wife kids hung pool 1 day played golf, golf course outstanding manicured, shot 77 double bogey 18, pools clean blast, best time private island, spend everyday truly gilligans island, grass umbrellas horseback riding, absolutely best time, boat takes 20 minutes like 5 minutes, boats leave el island 30 minutes, want wind breeze right island boat, truly paradise did not want leave, got married jamaica place literally blows away, cont,  ",5,0,4,0,0,4,1031
22,"service snarl date november 14 2008i stayed mandarin oriental new york previously pleasant stay, time typified attitude maitre d cocktail lounge, asked seats told arrogant superior demeanor twenty-five minute wait, despite tables obviously vacant, told wait bar did, thirty minutes later maitre d having come approached told wait, tables open, finally hour later having heard maitre d left, noted tables lounge vacant, attitude staff lucky, prices economy continue attitude lucky,  ",1,0,0,-1,-1,-2,482
23,"brilliant, just 3 nights st christpohe loved, 3rd trip paris hotel location best far, close place monge metro market shops, walk saint germaine pantheon, staff really friendly helpful, room ok size paris little dated clean good bathroom, concern rooms little hot provide fan, nice weather not hot not sure enjoyed stay 25 degrees, apart great hotel struggle better value paris,  ",4,8,8,8,8,32,379
24,"good location average hotel not far center 20 minutes walk center minutes metro, asked wanted quiet room course said yes n't quiet looked brick wall close, color sky stick heads window look, breakfast buffet expensive 14___ saw limited no fresh fruit end spain, decided welcome curt tables dirty cups food unimaginative, said clean quiet no problems, fun outside hotel really just sleep,  ",3,0,0,0,0,0,389
25,"bad vibrations short version air conditioning hotel builds harmonic modulating vibration ducts coming basement, room air returns coming 2 minute buildup release noise drove nuts, figured nicely moved room realize problem probably hear rooms loud did not drive nuts low level, liked open windows hotel right i-5 continuously traveled types vehicles quite loud windows open not.the normal level great marriott service pleasant not stay facility changes air,  ",2,0,0,1,0,1,457
26,"excellent resort just got 5 days desert ridge, wonderful experience, booked hotelopia.com saved lot money, bargain got, service notch, rooms nice lot space big bathrooms, food pricey excellent spa quite relaxing, not pickiest people like nice new hotels high quality service, felt restaurants pricey location food quite small overall experience booking trip couple months, comfortable knowing hotel clean comfortable great place relax, dont pay 400 night, shop cheeper, enjoy sure did,  ",5,4,4,4,4,16,487
27,"choose different hotel little traveler 25 yr old lady went hubby husbands opinion same.. i__Ç_é pregnant didn__Ç_é_ drink bit better o punta cana places dr worst hotel far, great thing trip direct flight travel smooth beach amazing, waves fine food buffet terrible restaurants horrible, good thing food breakfast bread fruits ate pineapples watermelon apples not good, sit table table getting food, not organized, wait forever bring coffee/tea drink yourself.entertainment wasn__Ç_é_ bad nice club/disco property, certainly not recommend hotel friend,  ",2,0,0,1,0,1,554
28,"wow fantastic place stayed april 12-april 19 2008about 51 hubby 63. totally beach people love just lay sun.flew punta cana miami, airport punta cana cutest little airport seen, better island airport, open clean, thatched hut roofs girls dressed costumes meet arrive picture, band playing, time got got cab hour not bad, immigration breeze wait little bit luggage tour rep headed resort.ride resort 25 minutes, moment drove awed kept beautiful place, gorgeous reception area fresh flowers place, asked travel agent request bldg 2000 3000 4000 room floor, emailed resort request left, deluxe ocean view, request granted room 2219 3rd floor, view gorgeous, room tub bathroom huge tub/shower combo nice, fresh flower petals tub sink towel animals towels, pretty, big king size bed, patio 2 chairs table, size sofa desk cabinet tv fridge, lower table, room nice size, loved, maid fabulous, took crayons/coloring books/pencils left tip day, resort simply gorgeous, grounds kept clean manicured, pool b/t bld 2000 3000 beautiful, loved david bartender pool bar, did not matter walked just saw gorgeous flowers shrubs, don__Ç_é_ know say perfect.food imo can__Ç_é_ eat issue, don__Ç_é_ eat meat chic no seafood plenty, hubby loved variety foods, liked buffets ate ala carte__Ç_é_ night did mexican really good, buffet liked el cathedral bavaro lobby best, presentation restaurants incredible night different theme laid look absolutely gorgeous, tons different things choose, wed/sat mornings serve mimosas breakfast buffets night gave tequila shots night kind liquor shots.beach oh god heaven, gorgeous gorgeous beach, play towel game, got 5:45 morning towels thatched huts gone, think people left overnight, really don__Ç_é_ issue people saving chairs irks day, just rude, towels went walk 8 stayed day, left couple snorkel trips took stuff freed chairs use, water sand beach just simply wonderful.things little want, animation team stuff going, don__Ç_é_ bug ask want participate say no leave, vendors not bug, walk books pictures, want like parasailing come talk, big selling push beach all.marketplace went couple times little marketplace outside resort, vendors not worse islands sure barter, pay asking, bought stuff little grocery, presidente lite cans 15 12 pack, no american beer, resort served presidente tap just not week, bought champagne little store 13 bottle mimosas beach.excursions parasailed fun, 85, did tropical storm snorkel trip great, think paid 168 including tax, did marinarium 160 okay not, make stay group snorkel just not like, fun try different time.overall perfect week planning 2 years, year booked st thomas week pc, spend years resort, fabulous,  ",5,7,6,6,0,19,2672
29,"luxury convenience ca n't recommend hotel highly, location convenient potsdamerplatz near brandenburg gate reichstag tiergarten berlin philharmonic, room highest quality new looked like person stay, bar comfortable accommodating breakfast room light staffed, staff helpful courteous.i booked hotel basis previous good experiences marriott hotels not disappointed, berlin stay bothering scout hotels good.for purposes comparison paid eur159 night, breakfast eur24 felt bit high, cafe 100 yards away substitute visit.a great stay wish longer,  ",5,3,3,3,0,9,542
30,"4 stars hotel absolutely brilliant can__Ç_é_ understand tourist board gave 3 stars far better 4 stars seen.we bit sceptical location shops main road didn__Ç_é_ cause trouble, rooms huge 3 stars laid bathroom nice modern, lots public rooms lounges bar restaurant roof terrace perfect.the staff brilliant, chat general manager years, friendliness service second none.the location good 5 minute walk main sights ponte vecchio uffizzi, shops wallet end bit light overall happily stayed fortnight they__Ç_ée achieved perfect balance old school charm modern convenience,  ",5,3,2,0,0,5,567
31,"good bad left dec 13 came dec 20. doing research property reading reviews booked, family mother brother went relaxing holiday, like people say make, resort great not big not small, tram goes circles resort time just hop whereever, rooms big spacious, big tub large did 1/2 hour start way ahead, yes rooms little tired need repair cares clean holidays room, 1st day beers fridge pop water no matter tipped day rooms got anymore beer rest week towels/washcloths soap hit miss day got days did n't, food excellent loved idea no reservations allacart restaurants, rotated closed night n't know n't busy, no matter n't going hungry eat room service door 30 min great, guess thing really did n't like n't forever hassle time shares buffett tours, people tring book, just wanted relax got hassled pool beech going eat.communications easy know english by.went air transit flight good ahead schedule not room plane, booked speed boats air transit hotel n't, use group, air transit used old broken boats, son broke ocean seperated broken worker tring going drifted ocean water rough, boats party broke change boats times wavy ocean not easy thing, finally went barge snorkle think got like 10 min guide went ocean n't personalized did n't, did tour 3 years ago blast great time obviously company, just research.all great trip n't know hotel,  ",4,3,3,3,0,9,1333
32,"perfect location 13-year-old nephew stayed hotel globus nights week june, rooms reviewers stated small, nonetheless quite happy globus florence home days, block mercato centrale fascinating fun shopping street vendors, staff members terrific helping tickets train schedules dinner recommendations, fact restaurants suggested highlights trip, room clean comfortable stay,  ",5,2,2,2,0,6,372
33,"beautiful disappointing reading reviews hotel 1929 online boyfriend prepared small room, expected small room room lovingly decorated not able open suitcases spare storage area just deposit mobiles sunglasses.the bed big matress hard ac fully adjustable wishes, minutes reach nice little bars great food just corner famous maxwell hawker centre close, staff helpful nice free soft drinks provided room.so far good, arrival asked tiny musical clock room, soon corner small room designated bathroom meaning glass wall shower toilet, glass wall partly frosted just allow minimum sanitary privacy, no way block sounds time musical clock unfortunately breakfast joke, eggs came baked beans greasy bacon rubberlike potato wedges buffet consisted prepacked jam butter plus toast, advice future travellers better skip breakfast dig delicious noodle soup chinese restaurants corner.in conclusion admit hotel 1929 looks better feels, sure design awesome cool, staying hotel not great experience looking forward, better dinner stay someplace,  ",2,2,2,3,-1,6,1032
34,"great location fantastic staff stayed argonaut nights beginning december 16.i arrived late midnight did n't notice valet parking pulled, luckily spot corner, valet met door let pleasant, desk clerk equally friendly way room 482 minute two.upon entry surprised small room, pretty cold, nicely decorated cozy, ipod-dockable clock radio softly playing classical music.because intouch member gift bottle water bar chocolate waiting nightstand, pair chocolates lay pillow, thought nice touch, turned heat room comfortable temperature time finished unpacking, bed extremely comfortable.the room clean, shower hot water pressure strong, bathroom amenities l'occitane.the lapse excellent service breakfast following morning, given vouchers continental breakfast check-in, hungry bit ordered eggs sausage, waiter brought eggs bacon instead, pointed mistake returned sausage disappeared, flag hostess order check, food excellent.with sole exception service bit good come expect kimpton brand.thanks busy work schedule did not spend time area hotel, saw driving neighborhood picturesque, great home-base exploring fisherman wharf area.a note budget-conscious parking rates outrageous 39/day plus tax tip valet parking, defense understanding parking san francisco uniformly insane.i definitely stay,  ",4,3,3,5,-1,10,1289
35,"good flaw stayed hotel boyfriend 4 nights august, excellent location right near placa catalunya shops restaurants subway stops, room lovely- fine size considering n't long periods time, fact got free water juice mini bar big plus staying sweltering heat august, major flaw noise, stayed room middle hotel overlooking playground, not problem no kids school, major problem thinness walls, people room used toilet shower, felt like room, night people came late horrendous noise banging doors etc. kept, know problem hotels exceptionally worse hotel stayed, despite problem enjoyable stay, staff friendly helpful, emailed arrived requesting double twin room sorted, hotel clean nice size not big not small, did n't use swimming pool facilities busy sightseeing, definitely recommend maybe bring ear plugs light sleeper,  ",4,3,7,4,0,14,817
36,"welcome oasis lanson place calm oasis appreciate given hong kong frenetic intensity.it location ideal causeway bay, somewhat unknown taxis suggest regal hotel 2 minute walk.checking simple fuss.the room clean comfortable offers free cabled wireless internet complications passwords/accounts.the staff genuinely friendly speak english.there great laundry 50m away keswick street open 8am 7 days week 24 hr turnaround maybe bargain hkd28 week worth washing.breakfast simple bit limited variety staying 5 days definitely edible nice complimentary decent newspapers financial times,  ",5,0,2,1,1,4,580
37,"ca n't beat value/location/amenities fine family-run hotel lot going great amenities fridge room flat-screen satellite tv internet access including free use common area central location minutes away duomo uffizi accademia gratious helpful staff recommend restaurants make reservations book museum tickets reasonable price, recommend hotel casci stay, grazie mille,  ",5,3,3,3,3,12,366
38,"great hotel great location stayed nights early july, arrived upgraded beautiful room 39th floor 50/night extra, great view city room quite spaceous tokyo standard, staff polite friendly, location hotel n't better, travel airport hotel smooth convenient, hotel staff loaded luggage bus left hotel narita hour, really pleasant stay, definitely,  ",5,3,3,3,0,9,344
39,"huge surprise, booked hotel traveling budget, actually booked room 125 night, really nervous pulling area little shady, surprise staying beautiful hotel, interior remodeled, modern hotel, flat screen tvs comfortable bed, delicious breakfast roof morning, mile major shops took bus fisherman wharf, think like 4 bucks round trip took 15 minutes, walked night time mall okay did not husband felt unsafe, not beat hotel, spectacular, shocked, booked night unsure ended staying g 3 nights, worth, recommend hotel, clean beautiful staff outstanding, helped reservations gave directions needed,  ",5,4,4,4,4,16,590
40,"pros cons decided discover san francisco low peak season holidays, sf beautifully decorated time, stayed 3 nights early dec. got great deal, pros price 60 king-sized bed amenities like fridge m/w free parking.- location interesting places like haas-lilenthal house spreckel mansion danielle steele house, blocks away union street lighted holidays, octagon house street corner, walk polk st interesting shops breakfast places, discerning muslim eaters halal deli nearby, not walgreens half block away.- common sense deposit deposit 25, thought hearing things.- public transportation easy walk bus cable car lines.- room clean room, nice fragrant smell checked, tv vcr, nice little breakfast table, really spacious room think recent furniture, level parking lot rooms face buildings, good n't face main road practically no noise night, noises came common coridor people pass adjoining room hear locked, hardly hear people upstairs, lots light.- bathroom good water pressure clean, good light.- good communication e-mailed ask inquire room response quick informative, requested floor room king size bed got king size bed rooms book specially reserved travel company used, gave options upgrade needed privacy, chose stay room got just like quite pleased vending machines drinks 1, cons bathroom really small brownish tiles not keen, bit tight good shower, thinking renovation suggest increase size bit change tile colors white, sink closet area area looks like belongs 70 including bathroom, closet rods bit rusted sink tiles brown bathroom, not space hang clothes luggage holder just used bag hold clothes.- towels bit rough guess standard size bath towel bit small me.- check-out time thought check time 12pm actually 11am, gave warning really nice extra hour, did n't charge extra minutes needed pack.all husband pretty happy castle inn, not featured travel books saw good read tripadvisor, fun sf,  ",4,-1,5,4,2,10,1899
41,"light light shaddow, reception horrably slow unefficient, rooms standart different quality, facilities not outstanding, long ways walk b. good breakfast, aircon room not strong got 26 degree c,  ",2,0,1,0,0,1,195
42,"jury sure thing recently stayed jury inn boston enjoyed minute, friends raved thing n't far certainly solid choice, rooms nicely appointed comfy beds spacious bathrooms sep. shower bath practical work desk, highspeed internet free cuff bar downstairs cozy, really makes hotel people, staff pleasant way help unsure disabled room given checked minutes moved adjacent room guests interesting, jury uk chain lot british irish guests staying, entertaining.so n't exactly cutting edge terms concept execution really delivers warm friendly boston experience,  ",4,0,1,1,0,2,554
43,"glass half ok hate mail unreasonable 3 stars reason, weather amazing, just dr. ordered, aethetic perspective 4 4.5 star spot, resort beautiful, stunning, extremely nicely kept-up, flowers grounds impeccably groomed, beach manicured morning ocean gorgeous, pool huge wicked swim bar, food good great variety able tasty nights, mean options extravagant roasted boar chuchuro spicy local fish options simple pasta pizza coldcuts salads no complaints going hungry, rooms spacious clean new modern furntiture, visual perspective place rocks.but despite nice employees attitude staff members completely uncaring inhospitable, tipped 15 day total various employees really did n't think cared.but beach towels 8am, no biggie really annoying 4th day told laundry facility broken, no biggie n't hot water none 5 6 nights ah cares right, afterall sun nice cold shower feel pretty good right check people rude unhelpful flight delayed getting 1am noon day 6 nights room n't ready 17:00/5pm, watch things day, vacation make moved reading week spanish students causing havoc enjoyment guests, kids partied 6am everynight kept eveyone hollering, complaints came resort did nothing, n't told respect resort rules tossed, trust way iop, security smoke shop tried charge wife 6,500 dominican pesos pack smokes, realized apporox cad200 inisisted cancelling transaction complained desk concierge just asked room number looked, nothing hospitality room booked 2 days vacation n't booked according real piece work desk, issued key room actually guests, imagine 2 hours leave flight want shower open door room guests, confused, invited room chambermaid speak desk finally received key grungy room freshening place filthy, wife did n't want use shower thankfully brought towels home none.too buts overall place sooo potential, constructing new facilities place getting nicer, bad beauty spot n't remotely challenged attitudes key employees constanly challenged glass half full.we totally recommend punta cana overall ca n't recommend place, folks stayed barcello loved,  ",3,0,5,3,0,8,2047
